"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test vérification du token JWT","233","test_token_verification","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","30","test_create_match_rejects_duplicate_court_in_event","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"Test connexion avec email invalide","11","test_login_invalid_email","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","1","test_player_create_accepts_valid_names_and_license","tests","2026-01-28","passed","2026-01-28","","test_player","",""
"","7","test_match_in_event_create_rejects_invalid_court_number","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"Test connexion avec compte désactivé","231","test_login_inactive_user","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","0","test_player_create_rejects_invalid_license_format","tests","2026-01-28","passed","2026-01-28","","test_player","",""
"","246","test_upload_and_delete_photo","tests","2026-01-28","passed","2026-01-28","","test_profile","",""
"","253","test_get_players_without_account_lists_only_unlinked_players","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"","47","test_update_match_rejects_date_change_when_not_upcoming","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","1","test_parse_score_counts_sets_and_skips_invalid_segments","tests","2026-01-28","passed","2026-01-28","","test_result","",""
"","1","test_match_in_event_create_rejects_same_team","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"","689","test_reset_user_password_sets_temporary_password","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"","0","test_player_update_rejects_invalid_last_name_characters","tests","2026-01-28","passed","2026-01-28","","test_player","",""
"","61","test_get_events_filters_by_month","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"","269","test_get_all_accounts_returns_linked_player_data","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"Test avec un token invalide","1","test_jwt_invalid_token","tests","2026-01-28","passed","2026-01-28","","test_security","",""
"Test connexion avec mot de passe invalide","241","test_login_invalid_password","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","29","test_update_event_rejects_completed_match","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"Test du décodage de token JWT","1","test_jwt_token_decode","tests","2026-01-28","passed","2026-01-28","","test_security","",""
"","25","test_create_match_requires_admin","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","241","test_get_my_results_returns_404_when_player_missing","tests","2026-01-28","passed","2026-01-28","","test_result","",""
"","0","test_match_update_rejects_invalid_status","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","0","test_determine_winner_handles_wins_and_draws","tests","2026-01-28","passed","2026-01-28","","test_result","",""
"","1","test_match_update_rejects_invalid_score_format","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","8","test_get_event_returns_404_for_missing_id","tests","2026-01-28","passed","2026-01-28","","test_event","",""
